,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
106,249.76,149.5,8.3,2.89,5.380196632540683,5.4,1.5948,2.38,1.3171050653465166,4.5,0.22370358589938466,0.27335929391881747,0.5457293232857265,21.5,4.1,6.1,87.5
107,147.91,-58.0,-168.0,5.14,0.157,233.94588146493766,1.238,1.86,0.860244962915172,2.6383420129489106,0.11359683384552154,0.06273462790636018,0.3190448560534032,9.6,2.5,0.0,97.0
108,132.12,171.0,-57.870074966478995,0.879,5.797629053660765,-5.425561841306501,1.4006537188768342,1.15,2.116537076974178,12.760471494692487,0.7984124072751227,0.6255203802053052,0.600628684190706,15.3,4.5,9.2,132.0
109,116.08,126.0,-78.0,0.88,0.685,11.5,1.3945,1.82,1.84,5.1,0.0,0.45,0.46,15.8,3.7,6.3,132.5
110,73.09,78.0,-50.0,0.74,0.574,92.9,1.401,0.86,1.39,4.424006596985521,0.0,0.72,0.31,16.2,4.5,8.0,99.0
111,178.1,250.0,-22.0,1.0,5.194793428133935,0.01,1.494,0.5761560883940865,3.8029514031955176,18.307262101861784,-0.025769522119873295,0.6401626344762887,0.8481799741035958,18.3,5.6,5.5,178.1
112,130.1,146.0,-90.0,0.87,4.474516843362038,57.13876511885978,1.401,0.8397083107810472,1.8,16.87010769437198,0.4060696519363211,0.6013506467803903,0.5829040537972605,15.7,5.5,5.9,149.3
113,340.33,343.0,27.5,0.86,5.445546819791869,21.434769167838315,1.4328,2.0709214973029684,1.5316392652540856,15.855937800319795,0.30985336626614773,0.42856487636090157,0.3819157671423246,14.5,3.7,3.5,382.0
114,72.06,74.8,-99.0,0.799,0.45,111.0,1.382,0.88,2.72,13.4,0.07715642189864362,0.5317899279119483,0.5806946051907477,14.7,5.3,7.0,88.5
115,88.05,164.0,-7.9,0.954,1.426,1.65,1.398,0.79,1.23,3.0,0.48908352606430955,0.6208232302553386,0.4002682679994761,14.9,4.1,10.6,110.0
116,69.06,117.0,-112.0,0.81,0.6,69.74754319068637,1.38385,0.55,3.328925194603528,20.7,-0.06162496005406423,0.5322437058996285,0.6778085225681619,15.3,12.5,5.1,87.0
117,114.07,237.0,-1.5,1.0,5.755026592965609,0.135,1.4823967033133039,0.68,3.9940624512011387,27.945376622872857,-0.06371336127213334,0.740062081403237,0.9268142001748303,19.7,15.0,7.4,110.8
118,76.0,46.3,-110.8,1.266,0.36,300.0,1.624,1.84,0.6124596508209827,3.2081219778492254,0.0,0.07,0.61,20.5,0.0,0.6,60.0
119,112.0,131.0,-45.0,1.11,0.753,12.0,1.5241,2.8,1.656377786869476,5.62,0.0,0.07,0.71,19.0,4.3,2.0,102.1
120,85.97,-41.0,-146.0,3.11,2.739881787610325,7250.0,1.256,1.08,2.2580615373515522,6.11,0.6488672842562545,0.20309856321001085,0.6678878051679147,12.3,6.3,5.7,72.9
121,93.06,184.0,-6.0,1.02,1.62,0.667,1.5863,0.94,1.53,6.89,0.5323654979322737,0.6099829819750395,0.7577602941193727,19.4,5.1,10.2,91.5
